"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_annotation"
"1","IFFO1",14.2698044724137,1.24958543939435,0.420079433429132,2.97464084159967,0.00293331765266375,0.00582357521631186,"intermediate filament family orphan 1"
"2","MAMDC4",89.1555576185919,2.44465407108037,0.25224430599074,9.69161250827252,3.27319431297727e-22,6.53090696933321e-21,"MAM domain containing 4"
"3","SYDE1",20.1007339097908,1.87054209873094,0.358806939518681,5.21322720580647,1.85583362585282e-07,7.4475231280411e-07,"synapse defective Rho GTPase homolog 1"
"4","CDRT1",147.156906954519,1.31408796346283,0.153209060672743,8.57709039982782,9.73031441159428e-18,1.28978632680069e-16,"CMT1A duplicated region transcript 1"
"5","ANO9",586.568038944593,1.13718495222199,0.125339511736388,9.07283694078608,1.15957743342698e-19,1.84601155545895e-18,"anoctamin 9"
"6","PARP10",2805.15226511414,1.5787146149838,0.133635588754868,11.8135792246157,3.32115832984669e-32,1.43464125943915e-30,"poly(ADP-ribose) polymerase family member 10"
"7","MRPL39",448.280774515295,-1.01953377112159,0.165725365430293,-6.15194764226013,7.65371474712252e-10,4.19216147258176e-09,"mitochondrial ribosomal protein L39"
"8","MIR663A",28420.0755285542,1.35761413655066,0.145071675595968,9.35823020567901,8.1083426086357e-21,1.42918180133456e-19,"microRNA 663a"
"9","SLFNL1-AS1",32.5971523510169,1.26202782433337,0.279506458607606,4.51520093889889,6.32567574660889e-06,2.01671852234363e-05,"SLFNL1 antisense RNA 1"
"10","LPIN3",540.481681583153,1.37068486765461,0.125042297692542,10.9617696807275,5.83470945937191e-28,1.80414702108057e-26,"lipin 3"
"11","SPRR3",572.233887868663,-3.15926992186648,0.190559925890366,-16.5788788335491,9.9059688051102e-62,2.65461619590277e-59,"small proline rich protein 3"
"12","GAS5",1136.79174343518,-1.01609341134895,0.0945905821234471,-10.7420145699376,6.46187158676209e-27,1.85535205817528e-25,"growth arrest specific 5"
"13","PAPPA",29.8200957366059,-1.93365024417545,0.320718008498908,-6.02912899473817,1.6484567696924e-09,8.65245481110583e-09,"pappalysin 1"
"14","TMEM59L",9.74026621159116,2.22763167122294,0.580796770128262,3.83547530874009,0.000125321696707739,0.00032246270858067,"transmembrane protein 59 like"
"15","KCNAB3",9.13292760021666,1.14678329626117,0.485424096620912,2.36243586637757,0.0181552824677928,0.0305776797069021,"potassium voltage-gated channel subfamily A regulatory beta subunit 3"
"16","LAMP3",1816.38209130417,2.7354508691469,0.212616535360474,12.8656544257443,7.02444510249328e-38,4.36269292181031e-36,"lysosomal associated membrane protein 3"
"17","HIST1H2AH",350.19804558086,-2.83776179677352,0.192109163096684,-14.7716108437021,2.23311173592782e-49,2.83468069566767e-47,"histone cluster 1 H2A family member h"
"18","PSORS1C3",18.7525730140161,1.85082076482367,0.31646401879339,5.84843980646032,4.96205138163795e-09,2.44487046454487e-08,"psoriasis susceptibility 1 candidate 3"
"19","ST3GAL4",326.175833489816,1.11784436753059,0.164945757211993,6.7770422618019,1.2266101635915e-11,8.29839910113725e-11,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"20","PYGO1",27.456576153639,-1.14186834216645,0.319959600229379,-3.5687891263392,0.000358634932441575,0.000848007533882685,"pygopus family PHD finger 1"
