"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_annotation"
"1","ARID5A",236.171706348781,1.14616390870418,0.150392718978992,7.62113961690048,2.51445791828806e-14,1.54068701257571e-12,"AT-rich interaction domain 5A"
"2","CASP1",1183.33713235966,1.20012967945377,0.146658270224238,8.18317083393113,2.76470780161282e-16,1.96195514350167e-14,"caspase 1"
"3","CEACAM1",1423.46838373007,1.18116106582891,0.133217644083963,8.86640109837448,7.5547983532874e-19,5.87037375954606e-17,"carcinoembryonic antigen related cell adhesion molecule 1"
"4","HIRA",1732.43012202456,1.01110885285334,0.100809216076792,10.0299247648462,1.12602370160613e-23,1.0952352213734e-21,"histone cell cycle regulator"
"5","SCAMP1-AS1",259.217078338688,1.23882437698056,0.151112378301113,8.19803374752018,2.44350764016042e-16,1.74291014189699e-14,"SCAMP1 antisense RNA 1"
"6","C15orf48",865.86049786446,1.05051917345063,0.214746336572309,4.8919073089608,9.98634754419833e-07,2.57222422207879e-05,"chromosome 15 open reading frame 48"
"7","SPOCD1",43.1111150410451,1.42796560283886,0.243843432659042,5.85607570918483,4.73932233518806e-09,1.75784624960349e-07,"SPOC domain containing 1"
"8","PHLPP2",437.600529501957,1.2418309988863,0.141520793425703,8.7749013330557,1.71053774668119e-18,1.30724557794443e-16,"PH domain and leucine rich repeat protein phosphatase 2"
"9","IRF1",3797.50646268539,1.18093634042003,0.105918858640476,11.1494435984107,7.20555155081299e-29,8.28281128266594e-27,"interferon regulatory factor 1"
"10","PNPT1",1995.17817787737,1.91241953240578,0.151099569314003,12.6566842055754,1.02748185799991e-36,1.52034523009796e-34,"polyribonucleotide nucleotidyltransferase 1"
"11","TRIM22",7916.4717828113,2.05194270976297,0.120526181778634,17.024871106692,5.37106100757869e-65,1.40954882178136e-62,"tripartite motif containing 22"
"12","HDX",186.319927297276,1.28772219162179,0.163838410411487,7.85970877273295,3.85027587802442e-15,2.49085986918333e-13,"highly divergent homeobox"
"13","TLR3",1083.29936830178,1.02155447813129,0.155340428393006,6.57623059688487,4.82524037205282e-11,2.22232676605572e-09,"toll like receptor 3"
"14","TRIM38",2575.96829143647,1.06546470538769,0.110158974047011,9.67206452860565,3.96301395620717e-22,3.62641849453195e-20,"tripartite motif containing 38"
"15","ELOVL7",104.614436898062,1.08718651680608,0.187648232263809,5.79374771448762,6.88328346794246e-09,2.5062719831312e-07,"ELOVL fatty acid elongase 7"
"16","PPM1J",105.856798007002,1.60043962642649,0.209559182125207,7.63717251707091,2.22043895127103e-14,1.36655245014287e-12,"protein phosphatase, Mg2+/Mn2+ dependent 1J"
"17","NMI",974.398433560565,1.71204028373769,0.168214872408454,10.1776986732812,2.49389453680251e-24,2.51359268930334e-22,"N-myc and STAT interactor"
"18","SPATS2L",7139.52505766546,1.17858320494581,0.0985375937589089,11.9607467565064,5.7046582856589e-33,7.08447250850264e-31,"spermatogenesis associated serine rich 2 like"
"19","ZNF540",28.6419241335514,-1.01055249372728,0.295000070083789,-3.42560085982438,0.000613441127342235,0.00614280247674812,"zinc finger protein 540"
"20","ZCCHC2",1085.07168792485,1.02885800158682,0.0813489371137976,12.6474670486176,1.15540029187113e-36,1.67400652704538e-34,"zinc finger CCHC-type containing 2"
"21","SKIDA1",24.3923273308036,1.2134058283635,0.338252852639097,3.58727448681168,0.000334152513985841,0.00384930453545811,"SKI/DACH domain containing 1"
"22","HCG4",103.464655654698,1.01060567356801,0.190930129521007,5.29306545857036,1.20282841253628e-07,3.58247117558184e-06,"HLA complex group 4"
"23","FANCA",458.614414738572,1.1963674641263,0.11620631231409,10.2952020445558,7.40639275216006e-25,7.68772513356674e-23,"FA complementation group A"
"24","APOL4",247.109088651776,3.02636634421564,0.22218769314517,13.6207649549622,3.01394177267205e-42,5.24011451451194e-40,"apolipoprotein L4"
"25","IL1RN",2602.47993347608,1.14857046608071,0.128032306786469,8.97094252934369,2.93987828148268e-19,2.36362815127992e-17,"interleukin 1 receptor antagonist"
"26","SLC10A5",58.5731322289673,-1.11100681701465,0.291616135026998,-3.80982628725875,0.000139064466978912,0.00193231535585383,"solute carrier family 10 member 5"
"27","SOCS2",130.490162360843,1.00858783707728,0.198243612125033,5.08761834122131,3.62588131409128e-07,1.01678191930838e-05,"suppressor of cytokine signaling 2"
"28","GIMAP2",80.8411496338475,1.84219290404543,0.234781762476503,7.84640546443548,4.28131208015634e-15,2.74418293653892e-13,"GTPase, IMAP family member 2"
"29","TRIM25",3830.4916133553,1.74766791415299,0.0920146338582265,18.9933692160939,1.93505548952423e-80,8.41083962618515e-78,"tripartite motif containing 25"
"30","MILR1",26.3727270414488,1.20738102200895,0.306147633740042,3.94378688235811,8.02049408778182e-05,0.00121389610736624,"mast cell immunoglobulin like receptor 1"
"31","GTPBP2",1677.36374071182,1.1271231479975,0.092385619600018,12.2002012096402,3.10056842118807e-34,4.14671213176009e-32,"GTP binding protein 2"
"32","IFI16",5821.78962953247,1.56428511874731,0.103467401548266,15.1186276579836,1.22059877053757e-51,2.42532975705815e-49,"interferon gamma inducible protein 16"
"33","STXBP6",90.1444111116416,1.03723214535838,0.16998900146684,6.10176032806875,1.04906602116007e-09,4.3298098778384e-08,"syntaxin binding protein 6"
"34","PMAIP1",386.710038603169,1.05680050142961,0.154618639290214,6.83488424345804,8.20712719394819e-12,4.04797631704346e-10,"phorbol-12-myristate-13-acetate-induced protein 1"
"35","LEMD1",28.7062072548038,1.27996811164287,0.338155303602843,3.7851487112743,0.000153616689917546,0.00208861636369809,"LEM domain containing 1"
"36","PDCD1LG2",30.6907051507308,2.75168363984333,0.343820898356072,8.00324719352456,1.21180328089688e-15,8.14249847052886e-14,"programmed cell death 1 ligand 2"
"37","TIAM2",13.6088236744813,1.03535898518922,0.396167093531205,2.61344014203862,0.00896357836142556,0.0442264673391515,"T cell lymphoma invasion and metastasis 2"
"38","CMTR1",2347.69069024153,1.66288471520049,0.104908126747415,15.8508665320483,1.38655676126318e-56,3.11058354716283e-54,"cap methyltransferase 1"
"39","KRT39",29.9267519322505,1.70721064358209,0.387928847497937,4.40083446898383,1.07835367104092e-05,0.000214268874435831,"keratin 39"
"40","RORB",13.2513972885376,1.64676550404406,0.483228112828149,3.40784292206465,0.000654785757216198,0.00645915964334758,"RAR related orphan receptor B"
"41","TRIM21",1318.89956940267,2.34143456059839,0.158323874871975,14.7888912047646,1.7277660100312e-49,3.29198594979781e-47,"tripartite motif containing 21"
"42","NUB1",2962.20526526932,1.503563359055,0.120885753808812,12.4378871097828,1.62752261767969e-35,2.30991960094967e-33,"negative regulator of ubiquitin like proteins 1"
"43","DIP2C",132.243810297155,1.1488126210538,0.1739856123612,6.60291736461995,4.03144286914696e-11,1.87536250391187e-09,"disco interacting protein 2 homolog C"
"44","CFB",23193.6337944282,1.0388620033467,0.144632413888401,7.18277442391504,6.83107598883043e-13,3.68269131506366e-11,"complement factor B"
"45","HES4",893.543252104974,1.26858386606674,0.131075289873689,9.67828388775042,3.7292296701524e-22,3.43508976702979e-20,"hes family bHLH transcription factor 4"
"46","WARS",7996.79124867371,2.21952347917336,0.220097014348701,10.0842961715826,6.48281040695848e-24,6.44067213931325e-22,"tryptophanyl-tRNA synthetase"
"47","C19orf38",36.5313313880058,1.64194549814009,0.353796404377395,4.64093325377221,3.46839153166431e-06,7.98706255197331e-05,"chromosome 19 open reading frame 38"
"48","KRT6B",394.377433024217,1.28011906688939,0.196430052152352,6.51692066902535,7.17653550795446e-11,3.28350106513614e-09,"keratin 6B"
"49","MEF2C",43.5747706104248,1.44745750470003,0.286297821803458,5.05577547039006,4.28645407078029e-07,1.18529402923425e-05,"myocyte enhancer factor 2C"
"50","PSMB9",1082.67520030152,2.21869312617657,0.208966893920383,10.6174384111863,2.4725300642611e-26,2.66592408246571e-24,"proteasome subunit beta 9"
"51","NT5C3A",973.110229174722,2.0194427751318,0.323888687819039,6.23499014037839,4.51806547357641e-10,1.94556571739859e-08,"5'-nucleotidase, cytosolic IIIA"
"52","TAP2",2692.40744208621,1.67291317114229,0.132925227318534,12.5853700226024,2.5414908868916e-36,3.64428832430673e-34,"transporter 2, ATP binding cassette subfamily B member"
"53","SECTM1",3488.66776806723,1.58402795594032,0.144014801084003,10.9990635963616,3.86120561576358e-28,4.36630153737038e-26,"secreted and transmembrane 1"
"54","THSD1",110.397849904021,1.09138285640965,0.166746164815006,6.54517516262198,5.94256924352576e-11,2.72789424449504e-09,"thrombospondin type 1 domain containing 1"
"55","ADAR",18714.4034639117,1.38304171843265,0.0805305140612957,17.1741324956643,4.14807694662711e-66,1.15391204501273e-63,"adenosine deaminase RNA specific"
"56","SEMA3D",25.8388329416977,1.30331538620846,0.433379523315271,3.00733033309544,0.00263553199712359,0.018645785629701,"semaphorin 3D"
"57","IFITM2",2486.74839656507,1.8644686831248,0.166666402287597,11.1868298441308,4.73045378288766e-29,5.48299013884871e-27,"interferon induced transmembrane protein 2"
"58","APOBEC3G",720.076223071161,1.9621520903117,0.161961580559267,12.1149230795119,8.80466950250276e-34,1.14452474869449e-31,"apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"59","CYP26B1",332.853461677139,1.04077675872816,0.175727126548329,5.92268694749252,3.16723425761814e-09,1.21358295562564e-07,"cytochrome P450 family 26 subfamily B member 1"
"60","CPED1",22.4413030531839,1.53411111781233,0.352709836287912,4.34949910656889,1.36448839740378e-05,0.00026505740858523,"cadherin like and PC-esterase domain containing 1"
"61","GNB4",589.808810295043,1.16157211347152,0.125099226134549,9.28520622679314,1.61394323476585e-20,1.36880100319257e-18,"G protein subunit beta 4"
"62","TOR1B",1445.89750551741,1.84474931070689,0.118774851401584,15.5314806875211,2.12417852975761e-54,4.40973121946248e-52,"torsin family 1 member B"
"63","HTR2B",48.4694497886171,1.08505713837443,0.23818722640463,4.55547996738981,5.2266096809917e-06,0.000114663902291662,"5-hydroxytryptamine receptor 2B"
"64","SCO2",518.025362856568,1.1816271291073,0.151328126948706,7.80837741755589,5.79288975920473e-15,3.66242289367176e-13,"SCO cytochrome c oxidase assembly protein 2"
"65","ARL9",20.3321286176663,1.18103191478321,0.36499899534103,3.23571278238652,0.00121339410360534,0.0104051766163293,"ADP ribosylation factor like GTPase 9"
"66","PSMB8",3395.00487177181,1.43771209471409,0.122648908973162,11.7221759798018,9.81188792398957e-32,1.17649611323078e-29,"proteasome subunit beta 8"
"67","CYP2J2",418.845422388751,1.33326321016596,0.146995531514256,9.07009346768244,1.18914964451949e-19,9.61621070094279e-18,"cytochrome P450 family 2 subfamily J member 2"
